Hypocenter Depth (km),Magnitude,Rrup_OpenQuake,Soil_Class,Tmax,origen,Seismic Latitude,Seismic Longitude,Station Latitude,Station Longitude,T_0.01_RotD50
8.637,3.2,3.054001181677967,4,2.1052631578947367,NGAW2,37.4315,-121.7758,37.3583,-121.9778,-5.642648523746324
8.637,3.2,3.5085558999826545,2,0.6153846153846154,NGAW2,37.4315,-121.7758,37.1635,-121.6265,-7.342416475120599
8.637,3.2,3.11529150861163,3,1.5686274509803924,NGAW2,37.4315,-121.7758,37.259,-121.6731,-7.363150926240184
8.637,3.2,2.343727036325221,3,3.6363636363636362,NGAW2,37.4315,-121.7758,37.3729,-121.7689,-5.094999613998463
8.637,3.2,3.462919440290152,3,1.1594202898550725,NGAW2,37.4315,-121.7758,37.1543,-121.7347,-7.253082001114414
8.637,3.2,2.8507065015037334,2,2.7586206896551726,NGAW2,37.4315,-121.7758,37.3416,-121.6426,-6.870120438044334
8.637,3.2,2.972463646614637,3,1.8604651162790697,NGAW2,37.4315,-121.7758,37.2874,-121.8642,-5.792849453858235
8.637,3.2,3.121483478859551,3,1.8604651162790697,NGAW2,37.4315,-121.7758,37.6221,-121.757,-7.933065991975358
6.274,3.39,2.8535925063928684,4,4.0,NGAW2,37.3665,-121.7283,37.2675,-121.8666,-5.600804224340496
6.274,3.39,2.896464271895322,4,2.7586206896551726,NGAW2,37.3665,-121.7283,37.417,-121.9154,-6.404702586325607
6.274,3.39,2.224623551524334,3,3.6363636363636362,NGAW2,37.3665,-121.7283,37.3466,-121.8077,-6.308309073690931
6.274,3.39,3.211649779776461,4,1.8181818181818181,NGAW2,37.3665,-121.7283,37.4072,-122.0,-6.265000745882396
6.274,3.39,3.394172766725191,4,1.3333333333333333,NGAW2,37.3665,-121.7283,37.3942,-122.0604,-7.097422952540287
6.274,3.39,2.446685436967803,3,2.5,NGAW2,37.3665,-121.7283,37.376,-121.8437,-6.852948015820949
6.274,3.39,2.67827804276854,3,2.4242424242424243,NGAW2,37.3665,-121.7283,37.414,-121.8709,-6.200078170937874
6.274,3.39,2.7837759116303458,3,2.0512820512820515,NGAW2,37.3665,-121.7283,37.2329,-121.7719,-6.303836658820112
6.274,3.39,3.234355395716587,3,1.1594202898550725,NGAW2,37.3665,-121.7283,37.5215,-121.9338,-5.879970400681727
6.274,3.39,2.617395832834079,4,1.8181818181818181,NGAW2,37.3665,-121.7283,37.3964,-121.867,-5.722807202594556
6.274,3.39,2.523325759691945,3,2.857142857142857,NGAW2,37.3665,-121.7283,37.4504,-121.8004,-5.455360726142199
6.274,3.39,2.6326080059353516,3,1.8604651162790697,NGAW2,37.3665,-121.7283,37.259,-121.6731,-6.4700443669701855
6.274,3.39,1.9110228900548727,3,2.962962962962963,NGAW2,37.3665,-121.7283,37.3729,-121.7689,-5.7216407893537475
6.274,3.39,3.361069590571376,2,1.9047619047619047,NGAW2,37.3665,-121.7283,37.2063,-121.9773,-6.647722962161509
9.78,3.37,2.7985001040242823,4,0.8333333333333334,NGAW2,37.4178,-121.7612,37.417,-121.9154,-5.785506870575091
9.78,3.37,3.1359289040472746,4,1.25,NGAW2,37.4178,-121.7612,37.4072,-122.0,-5.761810395819867
9.78,3.37,3.334701390373791,4,1.7391304347826089,NGAW2,37.4178,-121.7612,37.3942,-122.0604,-5.637671752574487
9.78,3.37,2.5945081597030812,3,3.0769230769230766,NGAW2,37.4178,-121.7612,37.414,-121.8709,-5.486748911360485
9.78,3.37,3.0473755067058295,3,1.3559322033898304,NGAW2,37.4178,-121.7612,37.5215,-121.9338,-4.813436947538537
9.78,3.37,2.3504224224082058,3,2.857142857142857,NGAW2,37.4178,-121.7612,37.4504,-121.8004,-4.95038123504737
9.78,3.37,2.349468678892896,3,4.2105263157894735,NGAW2,37.4178,-121.7612,37.3729,-121.7689,-5.9421602294238385
9.78,3.37,2.8148097376737438,4,1.7391304347826089,NGAW2,37.4178,-121.7612,37.3319,-121.8761,-5.918159811748292
9.78,3.37,3.3700506526653187,4,1.4285714285714286,NGAW2,37.4178,-121.7612,37.3948,-122.0726,-6.6108565605997445
9.78,3.37,3.2627013044082305,3,1.8604651162790697,NGAW2,37.4178,-121.7612,37.3494,-122.0239,-4.7473770447369805
9.78,3.37,3.492256112609122,3,0.5333333333333333,NGAW2,37.4178,-121.7612,37.3702,-122.1135,-7.362410106071127
4.38,3.48,2.9780773383152703,3,1.1428571428571428,NGAW2,35.6525,-121.0847,35.636,-120.8698,-5.189042063678843
4.161,3.49,3.3700506526653187,4,2.3529411764705883,NGAW2,36.6951,-121.3325,36.5785,-121.0396,-5.935576206135897
4.161,3.49,2.231089091288976,3,2.5,NGAW2,36.6951,-121.3325,36.6181,-121.3147,-3.8025983595469106
4.161,3.49,3.4461707473048864,3,0.5714285714285714,NGAW2,36.6951,-121.3325,36.8268,-121.6435,-8.775627189509033
4.161,3.49,3.5522002551986827,2,0.7272727272727273,NGAW2,36.6951,-121.3325,37.008,-121.287,-8.291161813888904
4.161,3.49,2.5779415157551897,2,2.0,NGAW2,36.6951,-121.3325,36.764,-121.4472,-6.84725301759261
4.161,3.49,3.070375816549757,4,1.4814814814814814,NGAW2,36.6951,-121.3325,36.8831,-121.3908,-7.587277699560754
4.844,3.23,2.3115448343655176,3,1.1428571428571428,NGAW2,36.6994,-121.3367,36.6181,-121.3147,-5.0742187514524675
4.844,3.23,2.547098670044448,2,1.0256410256410258,NGAW2,36.6994,-121.3367,36.764,-121.4472,-6.701514579380163
7.213,3.4,3.3174533882291946,2,2.9501170606449665,NGAW2,37.1173,-121.5231,37.3416,-121.6426,-8.94448605100104
7.213,3.4,3.217675104291682,2,2.3107939264016757,NGAW2,37.1173,-121.5231,37.008,-121.287,-5.1451994484070145
7.213,3.4,3.061520014091994,3,3.123006155757434,NGAW2,37.1173,-121.5231,37.259,-121.6731,-7.141661541040721
7.213,3.4,3.527830032595521,2,1.6354296870719776,NGAW2,37.1173,-121.5231,37.1607,-121.899,-6.323959344239278
7.213,3.4,3.555633734966574,4,1.7674405287192296,NGAW2,37.1173,-121.5231,37.2675,-121.8666,-8.037021123916363
7.213,3.4,3.260017768199376,3,1.814999628832576,NGAW2,37.1173,-121.5231,37.2329,-121.7719,-7.495553923956017
5.0,3.9,2.637627736805664,3,2.0,NGAW2,46.3,13.0,46.1867,13.0694,-4.72346881704094
